  4000    30.54    20.53    10.01 [     0    1   84 ]
  5000    30.54    20.53    10.01 [     0    1   84 ]
  6000    30.73    19.41    11.32 [     0    1   32 ]
  7000    30.73    19.41    11.32 [     0    1   32 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.66    19.80     9.86 [     0    1   48 ]
  2000    30.73    19.41    11.32 [     0    1   32 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.73    19.41    11.32 [     0    1   32 ]
  5000    30.73    19.41    11.32 [     0    1   32 ]
  6000    30.73    19.41    11.32 [     0    1   32 ]
  7000    30.73    19.41    11.32 [     0    1   32 ]
  8000    30.73    19.41    11.32 [     0    1   32 ]
  9000    30.73    19.41    11.32 [     0    1   32 ]
 10000    30.73    19.41    11.32 [     0    1   32 ]
  1000    29.72    19.26    10.45 [     0   56   69 ]
  2000    30.26    19.08    11.18 [     0    1   34 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.68    19.12    10.57 [     0   56   87 ]
  2000    29.68    19.12    10.57 [     0   56   87 ]
  3000    30.79    20.48    10.31 [     0    1   83 ]
  4000    30.79    20.48    10.31 [     0    1   83 ]
  5000    30.79    20.48    10.31 [     0    1   83 ]
  6000    30.79    20.48    10.31 [     0    1   83 ]
  7000    30.79    20.48    10.31 [     0    1   83 ]
  8000    30.79    20.48    10.31 [     0    1   83 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.38    17.59    11.80 [     0   34   65 ]
  2000    30.48    19.56    10.92 [     0    1   10 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.41    19.41    10.00 [     0   51   56 ]
  2000    30.73    19.41    11.32 [     0    1   32 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.73    19.41    11.32 [     0    1   32 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.46    17.21    12.26 [     1   56   70 ]
  2000    29.91    18.99    10.92 [     0   65   83 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
